id,root,affix,info,pos,tense,person,possession,cases,verb_voice1,verb_voice2,verb_voice3,verb_func,impulsion,degree,copula,singular,plural,question,negative,polite,lexical_affixes,syntactical_affixes
945,ishla/yur,(i)ttirmaganingiz,"",VERB,Past,2,,,Causative,,,Participle,,,,,,,1,,(i)t tir ma Gan,ingiz
947,ishla/yur,(i)ttirmaganingizda,"",VERB,Past,2,,,Causative,,,Participle,,,,,,,1,,(i)t tir ma Gan,ingiz da
946,ishla/yur,(i)ttirmaganingizdan,"",VERB,Past,2,,,Causative,,,Participle,,,,,,,1,,(i)t tir ma Gan,ingiz dan
953,ishla/yur,(i)ttirmaganligi,"",VERB,Past,3,,,Causative,,,Participle,,,,,,,1,,(i)t tir ma gan lik,i
959,ishla/yur,(i)ttirmaganmi,"",VERB,Past,3,,,Causative,,,Participle,,,,,,1,1,,(i)t tir ma gan mi,
948,ishla/yur,(i)ttirmaganmidi,"",VERB,Past,3,,,Causative,,,Participle,Message,,,,,1,1,,(i)t tir ma Gan mi,di
951,ishla/yur,(i)ttirmaganmidik,"",VERB,Past,1,,,Causative,,,Participle,,,,,,1,1,,(i)t tir ma gan mi,di k
952,ishla/yur,(i)ttirmaganmidim,"",VERB,Past,1,,,Causative,,,Participle,,,,,,1,1,,(i)t tir ma gan mi,di m
949,ishla/yur,(i)ttirmaganmiding,"",VERB,Past,2,,,Causative,,,Participle,,,,,,1,1,,(i)t tir ma Gan mi,di ng
950,ishla/yur,(i)ttirmaganmidingiz,"",VERB,Past,2,,,Causative,,,Participle,,,,,,1,1,,(i)t tir ma Gan mi,di ngiz
1825,u/siz/biz/kim/sen/men,(n)iki,"Olmosh uchun",PRN,,,,,,,,,,,,,,,,,(n)iki,
1826,u/siz/biz/kim/sen/men,(n)ikida,"Olmosh uchun",PRN,,,,,,,,,,,,,,,,,(n)iki,da
1829,u/siz/biz/kim/sen/men,(n)ikidami,"Olmosh uchun",PRN,,,,,,,,,,,,,,,,,(n)iki mi,da
1827,u/siz/biz/kim/sen/men,(n)ikidan,"Olmosh uchun",PRN,,,,,,,,,,,,,,,,,(n)iki,dan
1828,u/siz/biz/kim/sen/men,(n)ikidanmi,"Olmosh uchun",PRN,,,,,,,,,,,,,,,,,(n)iki mi,dan
221,u/siz/biz/kim/sen/men,(n)ikimi,"biz{niki}/ sen{iki}. Qoida: agar n xarfi bilan tugasa {iki}/ aks holda {niki} qo`shiladi.",NOUN,,,,,,,,,,,,,,1,,,(n)iki mi,
153,ayt/qil/ishla/uzay/kamay,(t)Tir,"T:{t/d} Qoida: Tir odatda undosh harflardan keyin qushilyapti/ ttir shaklida keladi faqat/ t kelmaganda tir/dir shaklida bo`lishi mumkin",VERB,Future,,,,Causative,,,Finite,,,,,,,,,(t)Tir,
1575,et/qil/ishla/uzay/kamay,(t)Tiradi,"",VERB,Future,,,,,,,,Message,,,,,,,,(t)Tir,adi
1635,yengillash/uzay/kamay/ishla,(t)Tiradigan,"",VERB,Future,3,,,,,,Participle,,,,1,,,,,(t)Tir (a)digan,
1373,almash/yoz/kamay/uzay/ishla,(t)Tirar,"",VERB,Future,,,,,,,,,,,,,,,,(t)Tir ar,
1374,almash/yoz/kamay/uzay/ishla,(t)Tirardi,"",VERB,,,,,Causative,,,Finite,Message,,,,,,,,(t)Tir ar,di
1378,almash/yoz/kamay/uzay/ishla,(t)Tirardik,"",VERB,,,,,Causative,,,Finite,,,,,,,,,(t)Tir ar,di k
1379,almash/yoz/kamay/uzay/ishla,(t)Tirarding,"",VERB,,,,,Causative,,,Finite,,,,,,,,,(t)Tir ar,di ng
1380,almash/yoz/kamay/uzay/ishla,(t)Tirardingiz,"",VERB,,,,,Causative,,,Finite,,,,,,,,,(t)Tir ar,di ngiz
1377,almash/yoz/kamay/uzay/ishla,(t)Tirarkan,"",VERB,,,,,Causative,,,Finite,Message,,,,,,,,(t)Tir ar kan,
1375,almash/yoz/kamay/uzay/ishla,(t)Tirarmidi,"",VERB,,,,,Causative,,,Finite,Message,,,,,1,,,(t)Tir ar mi,di
633,yugur/qil/uxla,(t)Tirayotganda,"t qo`shilsa faqat T->tir shaklida qo`shiladi",VERB,Present,3,,Locative,Causative,,,Participle,,,,1,,,,,(t)Tir (a)yotgan,da
604,ayt/qil/ishla,(t)Tirdi,"{t} FEL nisbatidan keyin {tir} nisbati qushilganda suz bu bn tugay olmaydi/ masalan {ishla+t+tir} ishlattir degan suz bulmaydi",VERB,Past,3,,,Causative,,,Finite,Message,,,,,,,,(t)Tir,di
606,ayt/qil/ishla,(t)Tirdik,"",VERB,Past,,,,Causative,,,Finite,Message,,,,,,,,(t)Tir,di k
591,ayt/qil/ishla,(t)Tirdikmi,"",VERB,Past,,,,Causative,,,Finite,,,,,,1,,,(t)Tir mi,di k
582,ayt/qil/ishla,(t)Tirdilar,"",VERB,Past,3,,,Causative,,,Finite,Message,,,,1,,,,(t)Tir,di lar
605,ayt/qil/ishla,(t)Tirdim,"",VERB,Past,,,,Causative,,,Finite,Message,,,,,,,,(t)Tir,di m
577,ayt/qil/ishla,(t)Tirdimi,"",VERB,Past,3,,,Causative,,,Finite,Message,,,,,1,,,(t)Tir mi,di
592,ayt/qil/ishla,(t)Tirdimmi,"",VERB,Past,,,,Causative,,,Finite,,,,,,1,,,(t)Tir mi,di m
607,ayt/qil/ishla,(t)Tirding,"",VERB,Past,,,,Causative,,,Finite,Message,,,,,,,,(t)Tir,di ng
608,ayt/qil/ishla,(t)Tirdingiz,"",VERB,Past,,,,Causative,,,Finite,Message,,,,,,,,(t)Tir,di ngiz
589,ayt/qil/ishla,(t)Tirdingizmi,"",VERB,Past,,,,Causative,,,Finite,,,,,,1,,,(t)Tir mi,di ngiz
590,ayt/qil/ishla,(t)Tirdingmi,"",VERB,Past,,,,Causative,,,Finite,,,,,,1,,,(t)Tir mi,di ng
575,ayt/qil/ishla,(t)Tirgan,"",VERB,Past,3,,,Causative,,,Participle,,,,1,,,,,(t)Tir gan,
434,ayt/qil/ishla,(t)Tirgandi,"FEL nisbat",VERB,Past,,,,,,,,Message,,,,,,,,(t)Tir gan,di
